,tdata.id,tdata.member_id,tdata.funded_amnt_inv,tdata.int_rate,tdata.fico_range_high,tdata.fico_range_low,tdata.total_pymnt,tdata.total_rec_late_fee,pred,tdata.grade,tdata.emp_name,tdata.title,tdata.addr_city,tdata.pub_rec_bankruptcies,tdata.next_pymnt_d,tdata.Churn,m1.yhat (Probability of defaulting)
20225,863878,1077026,19975,0.2025,669,665,12206.33,0,532.67,F,Ga. System Operations,Debt Consolidation Loan,Monroe,0,9/11/2013,0,0.248062831
22200,981531,1204712,1750,0.1171,699,695,1448.92,0,66.16,B,USAF,Credit Card Refinance,Waldorf,0,9/27/2013,0,0.24805941
16131,757185,957204,12900,0.2099,679,675,9406.53,0,349.6,F,Unifirst,Debt Consolidation,San Jose,1,9/28/2013,0,0.248056152
23816,1029473,1258841,19010.82122,0.1349,749,745,9504.4,0,475.63,C,Travelers insurance,Debt Consolidation Loan,howard beach,0,9/23/2013,0,0.248044195
24581,1046507,1277552,3050,0.0991,734,730,1961.8,0,98.29,B,Child's Day,Car Loan,Austin,0,9/21/2013,0,0.24804364
10733,617204,791327,1200,0.0888,729,725,1215.04,0,38.1,B,Homeless travelers aid,my car,WATERVLIET,0,9/8/2013,0,0.248039967
19540,846205,1057561,12600,0.1349,714,710,6944.64,0,289.86,C,Gatehouse Media-The Massillon Independen,Loan to pay off credit cards,Wooster,1,9/24/2013,0,0.247970446
18920,830563,1039714,2000,0.0999,759,755,1539.84,0,64.53,B,Qualcomm Inc.,11-Jul,San Diego,0,9/8/2013,0,0.247936742
27025,531699,687363,2392.878454,0.1472,669,665,2982.04,0,89.47,C,RR Donnelley,Fencing and Gutters,TUSCOLA,0,7/28/2013,1,0.247905785
24538,1045354,1275976,14350,0.1171,734,730,6350,0,318.22,B,traer joes,Jeep,Novato,0,9/14/2013,0,0.247844802
10332,608164,780158,9000,0.1446,689,685,6886.09,0,244.94,D,Los Angeles County,Pay Off Loan,Glendale,0,9/16/2013,0,0.247753975
4348,473166,597781,3275,0.1218,709,705,2071.23,0,116.55,B,Texas Alcoholic Beverage Commission,Helen's loan,Austin,0,null,1,0.247626554
20820,878462,1093188,8000,0.1749,664,660,6573.86,0,287.18,D,Springhouse Apartments,Credit card pay off,livermore,0,9/22/2013,0,0.247578877
25359,1063781,1296348,3000,0.1065,709,705,1949.8,0,97.72,B,ADP,Lending Club,WEST ORANGE,0,9/23/2013,0,0.247524686
19308,839791,1050035,5000,0.1299,689,685,4033.2,0,168.45,C,"ACS, a Xerox Company",Credit Card Payoff,Round Rock,0,9/17/2013,0,0.247480268
18499,818199,1026113,5000,0.1299,684,680,4033.44,0,168.45,C,Livingston Parish School Board,Pay off Medical Bills & Be Debt Free!,DENHAM SPRINGS,0,9/29/2013,0,0.247462297
20813,878184,1092949,18511.02371,0.2136,679,675,11650.42,0,506.97,F,"Lend Lease, Inc.",Debt Consolidation,Valencia,1,9/22/2013,0,0.24739348
19321,840128,1050459,16000,0.1749,704,700,9632.64,0,401.87,D,Eagle Precision Cast Parts,Cabin fever,Muskegon,0,9/18/2013,0,0.247365906
13218,675736,863566,5500,0.1528,699,695,5550.6,0,191.42,D,Kaufman Bros.,Credit Refinance,Long Island City,0,10/1/2013,0,0.247344589
24570,1046255,1276891,3000,0.1065,704,700,1952.4,0,97.72,B,Castle & Cooke Mortgage,Bill Consolidation,Glendale,0,9/12/2013,0,0.247330022
24575,1046358,1277403,11250,0.1269,729,725,5268.56,0,354.2,B,The College of Westchester,Wedding,Bronx,0,9/15/2013,0,0.247328596
20044,859702,1072466,2000,0.1099,689,685,2278.76,0,677.64,B,Keeble & Pyke Financial Advisors,Sick of paying 29.99% on CC bill,atlanta,0,null,0,0.247319074
15644,743658,941961,4000,0.1299,699,695,3631.23,0,134.76,C,MISSION FOODS,PAID OFF,VICTORVILLE,0,9/14/2013,0,0.247249193
20301,865803,1079131,14775,0.1349,714,710,7808.27,0,340.47,C,"Crowe Horwath, LLP",Debt Consolidation,Denton,0,9/9/2013,0,0.247248088
18275,812171,1019308,5000,0.1299,684,680,4036.76,0,168.45,C,Lamproe Constructions,Pool,Sapulpa,0,9/29/2013,0,0.247213786
25074,1058174,1289753,15000,0.1065,749,745,6602.4,0,323.53,B,USAirways Inc.,Debt Consolidation Loan,BEAVER FALLS,0,9/21/2013,0,0.247179616
10619,614648,788161,1200,0.0962,699,695,1229.12,0,38.51,B,Ryla Teleservices,Holiday Loan,Atlanta,0,9/30/2013,0,0.247022086
14434,712561,905685,1500,0.1,704,700,1350.44,0,48.41,B,Four n Twenty Restaurant,Car repair,SHERMAN OAKS,0,9/8/2013,0,0.247018373
22041,977333,1200318,2400,0.1065,694,690,1714.9,0,78.18,B,Lansdafe Title,Debt Payables,azusa,0,9/18/2013,0,0.246976083
9365,586347,753275,8500,0.1323,699,695,5458.95,0,287.35,C,THOMSON PLASTICS INC,Personal,EVANS,0,null,1,0.246965653
20643,874326,1088735,19950,0.2025,674,670,12212.31,0,532.67,F,Biolife Plasma Services,Debt Consolidation Loan,springfield,0,9/19/2013,0,0.246931871
24769,1051151,1282825,15000,0.1171,729,725,6615.4,0,331.48,B,ssa marine,card payoff,CHINO,0,9/16/2013,0,0.246915926
20578,872260,1086445,7000,0.1099,744,740,3483.35,0,152.17,B,Greg Norman's Austalian Grille,home remodeling loan,MYRTLE BEACH,0,9/20/2013,0,0.246848881
10920,621444,796459,1200,0.0999,689,685,1232.32,0,38.72,B,Pioneer Natural Resources,Gymnastic Fees,Carrollton,0,9/8/2013,0,0.246801546
25489,1066639,1300831,7400,0.1349,694,690,5017.2,0,251.09,C,RMS/iQor,consolihappydaytion,TUCSON,0,9/26/2013,0,0.24675183
23790,1028586,1257937,7000,0.079,714,710,2071.27,0,438.08,A,Jerome H Seigel,personal,elmhurst,0,null,1,0.246711075
25035,1057397,1288954,15000,0.1171,734,730,6619.6,0,331.48,B,Six Flags Discovery Kingdom,Credit Card Refi,VALLEJO,0,9/19/2013,0,0.24660204
23304,1013970,1232142,2050,0.1171,699,695,1589.7,0,76.08,B,DAW INDUSTRIES,PAY OFF REVOLVING DEBT AND PARENTS,San Diego,0,9/18/2013,0,0.246600882
18096,807635,1014234,1800,0.1149,699,695,1479,0,59.35,B,Solvay Chemicals,medical,Green River,0,9/20/2013,0,0.24656617
23809,1029224,1258580,2575,0.1269,694,690,1799.4,0,90.58,B,cvs pharmacy,debt consolidation,SOUTH GATE,0,9/30/2013,0,0.24653787
18534,819265,1027341,12967.04714,0.1649,699,695,8481.12,0,353.95,D,Orlando Health,Debt Consolidation Loan,KISSIMMEE,0,10/4/2013,0,0.246443788
24331,1039993,1269948,14975,0.1171,739,735,6612.6,0,331.48,B,BlueCross BlueShield of TN,Debt Consolidation,BRYANT,0,9/22/2013,0,0.246443505
18769,825599,1034402,4715.378815,0.1523,674,670,3939.6,0,165.2,C,YMCA of San Francisco,Personal Financial Clearing,Oakland,0,9/5/2013,0,0.246423459
21348,891512,1108252,18000,0.1596,709,705,9111.91,0,437.35,C,Hawaii Electric Light Company  Inc.,Loan1,HILO,0,9/30/2013,0,0.246399033
19160,836483,1046530,5000,0.1349,689,685,4049.52,0,169.66,C,"Furth, Inc.",Consolidation Loan,Old Saybrook,0,9/14/2013,0,0.246367866
20715,875582,1090140,19762.11283,0.1599,709,705,11119.75,0,486.26,D,EWS Enterprises llc,Payoff,utica,0,9/20/2013,0,0.246340447
5201,491160,627468,4000,0.1459,684,680,4961.7,0,144.87,D,walmart ,wedding expenses,Liverpool,0,null,0,0.246302893
20693,875175,1089635,19756.17328,0.1599,709,705,11119.27,0,486.26,D,Transportation Security Administration,No more Debt,sacramento,0,9/20/2013,0,0.246214507
22637,995410,1219764,24750,0.1758,704,700,13112.19,0,629.14,D,Canadian Pacific Railway,consolidation,Waterford,0,10/1/2013,0,0.246187526
2238,413556,467078,2500,0.1347,684,680,3050.88,0,95.1,C,City of Billings,Diagnostic Bill,billings,0,null,0,0.246182484
3253,446098,545290,4000,0.1461,694,690,4963.16,0,144.5,D,E-TEL Systems  Corp,Consolidate bills & lower expenses,ASHBURN,0,null,0,0.24616103
11227,628571,805396,3000,0.1335,669,665,3242.24,0,101.59,C,Volvo Group NA,Wedding/Studio,Climax,0,9/20/2013,0,0.246095031
15197,732629,928851,12800,0.1602,684,680,8374.32,0,311.41,D,Walmart DC 6069,Payoff Debts and buy Dependable Car,Saint James,0,10/1/2013,0,0.246081537
20340,866933,1080437,15000,0.1349,709,705,7911.77,0,345.08,C,AREVA,Other,Forest,0,9/13/2013,0,0.246059996
6447,517174,668396,4000,0.1459,664,660,4962.19,0,142.12,D,Palombo's Med-Rite Pharmacy,Bills,Pleasantville,0,null,0,0.246021801
6550,519308,671353,14911.22853,0.1533,674,670,9397.62,0,522.41,D,Medical Center of Newark,I hate the IRS :),GRANVILLE,0,null,1,0.245974211
14041,702171,894029,9000,0.1306,714,710,5557.13,0,205.06,C,Rancho Federal Credit Union,Debt Away,Montebello,0,9/28/2013,0,0.245935491
16019,753913,953604,1600,0.1099,694,690,1406.43,0,52.38,B,SUSD,debt help,stockton,0,9/25/2013,0,0.245915565
27412,641193,820773,5000,0.152,669,665,5366.72,0,173.82,D,seymour board of education,personal loan,Beacon falls ,0,9/11/2013,1,0.245884238
15500,739645,937240,4000,0.1349,699,695,3650.67,0,135.73,C,Talentburst,Small Business Loan,Hayward,0,9/23/2013,0,0.245883463
21744,969421,1190632,24725,0.1758,704,700,13108.08,0,629.14,D,Shaw Stone & Webster,Debt consolidation,Urbana,0,9/30/2013,0,0.245813681
26482,389957,424619,4113.913998,0.1663,669,665,6164.8,0,514.32,E,Truman Medical Center,pay off high interest loans,"kansas city,",0,8/14/2010,1,0.245699269
22916,1002589,1228637,10000,0.1629,669,665,7407.33,0,353.01,D,POLYGON AEROSPACE,DEBT CONSOL,Cypress,0,9/8/2013,0,0.245695927
22543,992372,1216857,10000,0.1629,664,660,7408.38,0,353.01,D,Department of Justice,windows,Jupiter,0,9/30/2013,0,0.245617692
5749,501337,644296,1000,0.1062,699,695,1171.79,0,35.79,B,UCLA medical center,happiness,Los Angeles,0,null,0,0.245611833
2354,419127,491642,4000,0.1474,694,690,4971.64,0,145.31,D,Aquinas Academy,Loan Needed for New Teacher!,CEDAR KNOLLS,0,null,0,0.245600768
24693,1048931,1280317,13200,0.1269,724,720,5936.8,0,298.25,B,Bartlett Regional Hospital,E LOAN,Juneau,0,9/14/2013,0,0.245584955
25577,1069142,1287810,13000,0.1269,734,730,5859.4,0,293.74,B,wrisco,Debt Consolidation Loan,MATAWAN,0,9/28/2013,0,0.245513734
19978,857921,1070434,2175,0.1099,684,680,1645.19,0,72.02,B,City of Davis,Car repai,Davis,0,10/2/2013,0,0.24550327
27068,544732,702656,1000,0.1075,729,725,1173.73,0,35.99,B,Federal Government,Saving Gary,Weaver,0,8/23/2013,1,0.245485082
21460,894101,1111273,9975,0.1629,669,665,7401.45,0,353.01,D,Mayo Clinic Rochester,Credit Card,kenyon,0,9/7/2013,0,0.245454371
7470,540772,698130,2500,0.1361,684,680,3057.32,0,92.27,C,Mountain View Internal Medicine,Medical Expenses,Haymarket,0,null,0,0.245451024
18984,831828,1041144,2000,0.1149,689,685,1575.6,0,65.95,B,Pitt County Memorial Hospital,Shoe gallery loan,Winterville,0,9/9/2013,0,0.245391375
11384,632132,809787,6400,0.1223,719,715,4542.4,0,143.11,C,Josh,Getting ahead,Modesto,0,9/25/2013,0,0.245350127
2627,430026,509727,1000,0.1095,719,715,1176.99,0,36.37,B,Sprint,Drivers License,Kansas City,0,null,0,0.245276081
18441,816411,1024142,7775,0.1523,709,705,5096.75,0,185.91,C,Q3 Contracting,Other Loan,SAINT PAUL,0,9/8/2013,0,0.245231308
25344,1063275,1295786,3000,0.1171,694,690,1982.4,0,99.23,B,"J. Chapman Inspections, Inc.",Pay Personal Loans,Woodbridge,0,9/22/2013,0,0.245225245
23930,1032213,1261668,13500,0.1242,724,720,6057,0,303.18,B,First Southwest Bank,Down Payment on Rental Property,Cortez,0,10/2/2013,0,0.245223636
20602,872910,1087137,11750,0.1242,719,715,5379,0,269.49,B,North Bergen Board of Education,Wedding Loan,North Bergen,0,9/9/2013,0,0.245168801
23608,1022153,1251139,11975,0.1727,684,680,8072.07,0,299.98,D,Village of Stone Park,56 Olds 98,La Grange Park,0,9/26/2013,0,0.245156239
23918,1032007,1261438,11100,0.1677,664,660,7865.6,0,394.48,D,Here For You LLC,One and Only ,GALLOWAY,0,10/2/2013,0,0.245141143
4940,485941,619170,4000,0.1496,684,680,4986.07,0,152.07,D,3m,personal  loan,CORTLAND,0,null,0,0.245126243
9723,596171,765340,7975,0.1521,694,690,6483.46,0,191.21,D,Travelers Insurance,Unexpected Expenses,Hartford,0,9/25/2013,0,0.245108344
5344,493566,631526,4000,0.1496,669,665,4986.21,0,151.47,D,Language Connections,loan Fred,Cambridge,0,null,0,0.245062632
21327,891105,1107894,2400,0.1171,714,710,1742.84,0,79.39,B,Ecumen,Home Imrovment,ALEXANDRIA,0,10/4/2013,0,0.244999937
15869,749598,948846,9999.708537,0.1349,724,720,5964.66,0,230.05,C,Bon Ton,Wedding,PEORIA,0,10/3/2013,0,0.244971296
26815,484965,617683,3950,0.1459,734,730,4961.7,0,144.87,D,RWK Services,Law School Help,Akron,0,3/25/2013,1,0.244943564
20427,868619,1082301,2200,0.1149,694,690,1662.9,0,72.54,B,"Securitas Security Services USA, Inc.",money saver,Granbury,0,9/13/2013,0,0.244910338
6050,508044,655413,4000,0.1496,674,670,4986.51,0,149.91,D,us army,family relocation,killeen,0,null,0,0.244902053
22286,985214,1208701,4800,0.1629,734,730,5302,0,169.45,D,Moncrief medical home,personal/ home,columbia,0,null,1,0.244881399
16230,760487,960763,10350,0.1299,724,720,6102.46,0,236.58,C,Transwestern,Consolidation Credit,Washington,0,10/1/2013,0,0.244808155
23108,1008428,1235124,19700,0.1427,729,725,9790.62,0,468.17,C,Medical Specialties Distributors,Debt Consolidation Loan,Mansfield,0,9/23/2013,0,0.244787018
19070,833632,1001853,2100,0.0999,714,710,1622.64,0,67.76,B,PSA Airlines,Other Loan,middletown,0,9/11/2013,0,0.244767062
14636,716996,911025,8500,0.1306,694,690,5377.12,0,193.67,C,ICF International,JDM auto loan,sierra Madre,0,9/18/2013,0,0.244743079
8044,553920,408928,1000,0.1149,689,685,1186.15,0,37.23,B,Fayette County School District,Pay Day Loan,Lexington,0,null,0,0.244671075
15988,753102,952738,1750,0.1099,694,690,1483.82,0,57.29,B,quality inn,better home,interlachen,0,9/24/2013,0,0.244664877
19129,834976,1044880,17500,0.2099,694,690,11356.25,0,538.91,F,Black Rabbit Bar,2011 consolidation,Brooklyn,0,9/13/2013,0,0.244656615
17423,790807,995023,5125,0.1149,714,710,2781.75,0,112.69,B,Woodward Hrt,CAR LOAN,Frazier_Park,1,10/4/2013,0,0.244639112
4201,469349,591862,1000,0.1148,709,705,1186.31,0,36.3,B,USAF,Holiday Cheer,ft walton beach,1,null,0,0.244576841
10743,617431,791585,2900,0.1298,694,690,3226.24,0,101.06,C,Tufts University,Lease Termination Loan,FRAMINGHAM,0,10/1/2013,0,0.24452272
27081,547755,706292,4000,0.1521,679,675,5002.13,0,158.63,D,Marketing Associates,Personal Loan,STERLING HEIGHTS,0,8/29/2013,1,0.244513538
8231,558385,718817,7975,0.1756,699,695,7216.92,0,201.24,E,Walgreen Costumer Care,Student loan,Orlando,0,9/17/2013,0,0.244486848
3760,458509,570780,1000,0.1148,714,710,1186.56,0,34.76,B,U.S. Army,Military & College & Credit,Palm Coast,0,null,0,0.24442196
18469,817301,1025107,11590.82936,0.1349,729,725,6607.68,0,276.06,C,scott power and equipment,improvement loan,DALHART,0,9/29/2013,0,0.24440825
8063,554362,714127,4600,0.1558,664,660,5039.82,0,4.85,D,Bank of New York Mellon,debt consolidation,PITTSBURGH,0,null,0,0.244364016
14105,704429,896436,12000,0.1565,699,695,8079.68,0,289.59,D,Quest Diagnostics,Wedding Expenses,Hawthorne,0,10/4/2013,0,0.244348359
9850,598736,768472,14775,0.2114,669,665,13534.95,0,412.41,G,MillerCoors,combined debts loan,Sylvester,0,10/1/2013,0,0.244344026
24367,1040578,1270557,3000,0.1242,674,670,1996.4,0,100.25,B,bette&cring llc,Debt Consolidation Loan,DOLGEVILLE,0,9/7/2013,0,0.244275056
10615,614556,788035,6225,0.1036,714,710,3213.54,0,133.91,B,La Mantia Enterprises Inc.,Car Loan,Woodridge,0,null,1,0.244260104
15378,736849,933902,4000,0.138,679,675,3673.89,0,136.33,C,Bob Braker Auto Group,Emergency funds,Carlsbad,0,9/5/2013,0,0.244209441
24683,1048797,1279967,3000,0.1242,689,685,1997.6,0,100.25,B,EPL. Inc,Other,LEEDS,0,9/14/2013,0,0.244185995
20442,868972,1082777,15975,0.1299,719,715,8315.65,0,363.97,C,Montefiore Medical Center,card pay down,Rockaway Park,0,9/14/2013,0,0.244156635
19043,833116,1042667,6100,0.1099,749,745,3167.76,0,132.6,B,Computer Science Corp (CSC),Debt Consolidation Loan,Corbin,0,9/11/2013,0,0.244156612
19071,833679,1043372,2000,0.1199,669,665,1593.6,0,66.42,B,Wesco Aircraft,Credit Card Loan,Palmdale,0,9/11/2013,0,0.244095199
4164,468616,590346,2500,0.1392,674,670,3071.45,0,88.76,C,City Year Greater Philadelphia,Well Employed and financially getting it together,PHILADELPHIA,0,null,0,0.24408985
27072,545583,703644,2500,0.1398,684,680,3074.08,0,90.85,C,Mid-Michigan Stratford Village,personal loan,BAY CITY,0,8/25/2013,1,0.244079521
24478,1043511,1273844,3000,0.1269,684,680,1999.6,0,100.64,B,Crossmark,Car Repair,Wildomar,0,9/10/2013,0,0.244072087
24102,1035636,1265287,3000,0.1242,704,700,1999.6,0,100.25,B,US AUTO PARTS NETWORK,PAYOFF DEBT,NORFOLK,0,10/4/2013,0,0.244037609
13906,696758,887957,3500,0.1,749,745,2152.09,0,74.37,B,navylist,car trailer,glensfalls,0,9/22/2013,0,0.243972401
22634,995327,1220102,13950,0.0991,774,770,6232.8,0,296.84,B,"Law Office of Cathleen Gulledge, LLC",Complete Debt Consolidaiton Loan,Valley Center,0,10/1/2013,0,0.243801441
24177,1037010,1266692,7000,0.1677,664,660,6214.12,0,248.77,D,Verizon Wireless,Credit Card Consolidation,TAMPA,0,9/5/2013,0,0.243783011
23780,1027992,1257369,3000,0.1242,694,690,2003.2,0,100.25,B,Hackensack Medical Center,Other Loan,PINE BROOK,0,9/30/2013,0,0.243770669
20506,870288,1084202,2200,0.1199,684,680,1679.92,0,73.07,B,Saks fifth avenue ,Medical loan,Elmont ,0,9/15/2013,0,0.243693798
10964,622402,797682,15000,0.1929,664,660,10056.1,0,202.24,F,ngnn shipbuilding,credit payoff,Newport News,1,null,1,0.243666467
5239,491889,628780,2500,0.1422,679,675,3083.61,0,94.06,C,Equimine,Trying to get a new PC,Irvine,0,null,0,0.243656575
14827,722684,917541,6000,0.1491,664,660,5802.44,0,207.73,D,Botron Co Inc,Redecorating,Rancho Cucamonga ,0,9/21/2013,0,0.243624699
8417,562677,724007,2500,0.1435,674,670,3079.76,0,90.25,C,Hyatt hotels,medical expenses,KANSAS CITY,0,null,0,0.243605408
23122,1008749,1235447,19975,0.1465,734,730,9912,0,472.14,C,Atlas Copco CMT,Garage,Menomonee Falls,0,9/14/2013,0,0.243577485
4518,476849,604242,2475,0.1392,689,685,3071.23,0,89.94,C,Level 3 Communications,Excellent Opportunity,TULSA,0,null,0,0.243534134
18906,830027,1039166,15750,0.1299,714,710,8236.99,0,358.85,C,Stryker Instruments,The mama of all debt consolidation loans,MATTAWAN,0,9/8/2013,0,0.243449014
26198,342282,335155,0.010751021,0.1134,714,710,2289.84,0,190.82,C,Aramark,Imagination Creations,Phoenix,0,9/23/2009,1,0.243421088
23571,1020726,1249726,24472.35242,0.1727,714,710,13041.42,0,623.08,D,The Catholic University of America,FoodtvRefi,Crofton,0,9/25/2013,0,0.243380256
2738,433144,515630,1000,0.1253,684,680,1204.09,0,36.91,B,Home Depot,Pay off credit cards,Fort Worth,0,null,0,0.243312217
21712,968702,1189691,23975,0.1864,694,690,13567.84,0,617.83,E,"Ernst & Young, LLP",Another Debt Consolidation Loan ,Albrightsville,1,9/11/2013,0,0.243304882
17749,798976,1004133,5000,0.1399,679,675,4092.24,0,170.87,C,american steel foundries,inspector,belleville,0,9/11/2013,0,0.243299244
24217,1037971,1267679,11725,0.1269,714,710,5397.2,0,271.14,B,Reynolds and Reynolds,Debt Consolidation Loan,ALBUQUERQUE,0,9/6/2013,0,0.243286947
12533,658464,842125,7200,0.1306,704,700,4888.2,0,164.05,C,US Army,Consolidation,OLYMPIA,0,10/4/2013,0,0.243203547
9032,578195,743426,1200,0.1038,709,705,1235.28,0,0.51,B,jw molding,THE NEW BATHROOM,oxnard,0,null,0,0.243194649
21552,947226,1167977,18250,0.1349,719,715,9226.8,0,419.84,C,Evangel,Credit Card Debt Cons,ELMHURST,0,9/23/2013,0,0.24308941
22884,1002142,1228398,10000,0.1677,664,660,7445.34,0,355.39,D,Charlotte pipe& foundry,Debt Consolidation Loan,Matthews,0,9/11/2013,0,0.2430843
18164,809092,1015876,11450,0.1349,724,720,6560,0,263.41,C,c and c produce,Home Improvement Loan,KANSAS CITY,0,9/22/2013,0,0.243016068
2278,415553,483138,3325,0.1221,704,700,2147.57,0,113.28,B,American Express,Removing Tax Lien on Financial Account,Kew Gardens,0,null,1,0.243011952
20828,878693,1093457,12981.16656,0.1479,704,700,7178.53,0,312.58,C,United States Air Force,Debt Freedom-Consolidating all my bills ,Tucson,0,9/22/2013,0,0.242927423
19120,834810,1044699,15750,0.1749,689,685,9601.2,0,401.87,D,IFH,pool install,Hudson,0,9/13/2013,0,0.24291761
12595,660063,844213,1200,0.1037,744,740,1258.56,0,14.73,B,PLI,1200 = 36month,ASHEVILLE,0,null,0,0.242726268
19232,838263,1048329,15750,0.1749,694,690,9603.95,0,401.87,D,CITY OF PASSAIC,Debt Consolidation Loan,PASSAIC,0,9/16/2013,0,0.242714314
11914,643486,823512,2500,0.1261,714,710,3104.34,0,100.52,C,University of Florida,Moving In Loan,GAINESVILLE,0,9/14/2013,0,0.242692266
25208,1060670,1292440,13600,0.1269,739,735,6132.8,0,307.29,B,Altria,Debt Consolidation Loan,PLANO,0,9/21/2013,0,0.242671749
3153,443397,539496,2975,0.1357,674,670,3162.69,0,2.56,C,HUNTINGTON COACH,dental,BAYSIDE,1,null,0,0.242561984
588,316313,316283,2049.998724,0.1197,699,695,3107.52,0,239.04,C,American Family Insurance Group,Consolidate Credit Card Debt,Parker,0,null,1,0.242521812
14422,712349,905433,1600,0.1037,684,680,1452.08,0,51.91,B,LA STAGE Alliance,Security Deposit for Rental,LOS ANGELES,0,9/8/2013,0,0.2424863
8069,554615,714397,2525,0.1398,704,700,3104.98,0,90.87,C,Zaccho Dance Theatre,COBRA+,Richmond,0,null,0,0.242469325
21819,971392,1193116,6000,0.1427,664,660,4510.66,0,205.86,C,united states coast guard,auto repairs,homosassa,0,9/13/2013,0,0.242425783
20276,865051,1078296,20000,0.1649,699,695,11266.3,0,491.59,D,NEC Corporation of America,Debt Consolidation Loan,Frisco,0,9/8/2013,0,0.24237655
23980,1033307,1262876,2750,0.0991,749,745,1927,0,96.68,B,SteelFab Inc,New Home Improvements,Kings Mountain,0,10/3/2013,0,0.242344334
8511,565088,727054,4950,0.1361,734,730,4021.15,0,115.34,C,Hannaford supermarket,Wood stove installed,Uxbridge,0,9/30/2013,0,0.242313601
8904,574703,739316,8135.290987,0.1719,674,670,7315.7,0,209.63,E,Wackenhut-GS4,Wedding,San Lorenzo,0,9/15/2013,0,0.24224422
6160,510621,659341,4000,0.1533,674,670,5014.54,0,142.54,D,KC Engineering  and  Land Surveying,Joe's Personal Loan,NEWBURGH,0,null,0,0.242175145
19439,843307,1054085,4925,0.1199,719,715,2745.6,0,115.09,B,Lucky's Sports Bar,Debt consolidation,palm harbor,1,9/20/2013,0,0.242123825
10007,601922,772328,3000,0.1223,679,675,3294.06,0,99.98,C,Plus One,yc,Seattle,0,10/3/2013,0,0.242108183
5997,506708,653349,4000,0.157,679,675,4860.41,0,12.13,D,Recycle Bookstore,Need to pay off student expenses at a better rate,Sunnyvale,0,null,0,0.242080238
17367,789237,993096,12000,0.1299,714,710,6785.25,0,272.98,C,RBC Bank,Home Improvement,Powder Springs,0,9/30/2013,0,0.242045003
14116,704763,896780,7950,0.1417,699,695,5206.04,0,186.86,C,Lovingcare Transitional Home,Major Purchase Loan,Fairfield,0,9/30/2013,0,0.241949423
17197,785787,989129,2000,0.1059,689,685,1621.58,0,65.09,B,Gulf Bend MHMR,Car maintenance,Victoria,0,9/28/2013,0,0.241908464
11364,631535,809026,7000,0.138,709,705,4830.9,0,162.16,C,Skanska USA,Auto Loan,Woodside,0,9/25/2013,0,0.241878807
7148,533153,689124,2500,0.1472,674,670,3106.5,0,92,C,Army,Personal,HAVRE DE GRACE,0,null,0,0.241783442
22708,997442,1222522,3000,0.0991,724,720,2026.5,0,96.68,B,Broadridge ,credit card pay off ,brentwood ,0,10/2/2013,0,0.241734056
17930,803369,1009126,2000,0.1059,709,705,1624,0,65.09,B,CenturyLink,Pool,Columbia,0,9/15/2013,0,0.241730064
7582,543264,700925,2500,0.1472,669,665,3106.59,0,90.91,C,University of California,Home Medical,Goleta,0,null,0,0.241681071
8366,561487,722607,8350,0.1645,674,670,7398.36,0,206.29,E,"Forester Properties, Inc.",Debt Consolidation,Los Angeles,0,9/23/2013,0,0.241632761
24773,1051204,1282292,7500,0.1427,684,680,5131.2,0,257.32,C,RPM International-Tremco,Debt Consolidation Loan,Manchester,0,9/16/2013,0,0.241551622
24809,1052220,1283773,16000,0.1465,704,700,8684.17,0,635.81,C,Zone Striping,Hopeful Loan,Lindedwold,0,9/18/2013,1,0.241537126
25354,1063602,1296158,16075,0.1171,729,725,7110.6,0,355.79,B,Akzo Nobel,Debt Consolidation Loan,HAMBURG,0,9/23/2013,0,0.241428344
17270,787165,990677,11975,0.1299,714,710,6785,0,272.98,C,s.rothschild,Debt Consolidation Loan,river edge,1,9/29/2013,0,0.241391105
14516,714579,908013,5950,0.0579,764,760,1455.02,0,181.97,A,Department of veterans affairs,Credit consolidation,Pacific,0,null,1,0.241361461
20997,883080,1098342,7250,0.0991,749,745,3657,0,159.03,B,nysdoc,Car Loan,eden,0,9/27/2013,0,0.241340658
10485,611507,784194,10275,0.1817,664,660,8438.4,0,265.06,F,TricorBraun,Bermuda,Stone Mountain,0,9/29/2013,0,0.241331142
17395,790084,994154,11950,0.1299,739,735,6776.82,0,272.98,C,TECHNOLOGY CREDIT UNION,Debt Consolidation,SAN JOSE,0,9/15/2013,0,0.241321704
7231,535011,691383,4000,0.1558,664,660,5031.11,0,146.61,D,University Hospital,debt loan,CLAY,0,null,0,0.241311376
21587,965249,1169262,15000,0.1596,709,705,7998.98,0,364.46,C,North Ward Center Inc,Debt Consolidation Loan,Verona,0,9/8/2013,0,0.241308965
8613,567584,730161,1450,0.1186,689,685,1625.9,0,230.26,B,Donahue Law Group,Chambers,Somerset,1,null,0,0.241306014
21007,883270,1098524,2400,0.1065,719,715,1791.47,0,78.18,B,US Bank,Green Loan,Fairview,0,9/27/2013,0,0.241294962
16876,776394,978740,2975,0.0999,729,725,2024.4,0,96.79,B,woodley building maintenance,retaining wall,leavenworth,0,null,1,0.241226501
10935,621758,796855,9600,0.1446,684,680,7172.16,0,225.68,D,harris teeter,ses78,SELBYVILLE,0,9/14/2013,0,0.241065554
24308,1039496,1269430,16475,0.1171,754,750,7273,0,364.62,B,Kohls Dept Stores,Biz Inventory and Acquisition Funding,Newnan,0,9/7/2013,0,0.240993108
